Date,Country,City,Specie,count,min,max,median,variance
22-01-2020,IN,Hāpur,co,95,0.1,85.3,11.7,739.54
03-02-2020,IN,Hāpur,co,79,0.1,26.6,9.3,253.83
06-07-2020,IN,Hāpur,co,37,0.2,15.1,8,97.95
07-03-2020,IN,Hāpur,co,55,5.4,22.9,8.9,151.62
24-05-2020,IN,Hāpur,co,48,1.8,22,15.8,207.97
01-07-2020,IN,Hāpur,co,32,3,13.1,10.3,44.98
18-01-2020,IN,Hāpur,co,58,0.1,33,12.6,508.1
07-02-2020,IN,Hāpur,co,82,0.1,25.6,9.2,229.02
13-02-2020,IN,Hāpur,co,94,1,85.5,8.1,868.73
18-02-2020,IN,Hāpur,co,91,0.1,85.1,8.7,794.22
19-02-2020,IN,Hāpur,co,86,0.1,20.5,12.1,212.19
10-03-2020,IN,Gandhinagar,co,72,1.7,7.2,4.4,20.89
12-04-2020,IN,Gandhinagar,co,72,1.8,16.9,5.5,68.5
01-05-2020,IN,Gandhinagar,co,72,1.7,12.8,6.5,68.89
04-05-2020,IN,Gandhinagar,co,72,2,15.8,5.8,56.66
16-05-2020,IN,Gandhinagar,co,72,1.7,8.1,4.3,15.98
13-06-2020,IN,Gandhinagar,co,69,1.7,19.9,4.8,209.66
09-01-2020,IN,Gandhinagar,co,64,1,13.5,4.9,67.77
16-02-2020,IN,Gandhinagar,co,72,1,26.1,5.9,197.37
10-07-2020,IN,Gandhinagar,co,51,1.1,12,6.2,53.8
13-07-2020,IN,Gandhinagar,co,55,0.9,10.4,5.3,44.52
31-05-2020,IN,Gandhinagar,co,72,1.4,13.3,4.9,29.54
30-01-2020,IN,Gandhinagar,co,66,1.7,39.2,6.4,739.56
25-05-2020,IN,Gandhinagar,co,72,1.4,15.2,6.3,59.51
04-03-2020,IN,Gandhinagar,co,72,0.8,25.1,5.6,141.93
17-03-2020,IN,Gandhinagar,co,63,1.5,46,8.3,789.78
18-04-2020,IN,Gandhinagar,co,47,1.6,11.2,6.6,62.77
07-05-2020,IN,Gandhinagar,co,65,1.5,8.1,6,38.4
24-06-2020,IN,Gandhinagar,co,63,1.1,12.7,5.7,81.88
05-02-2020,IN,Gandhinagar,co,72,0.7,22.4,7.2,184.02
14-02-2020,IN,Gandhinagar,co,72,0.2,20.6,5.8,112.59
03-03-2020,IN,Gandhinagar,co,23,1.5,31.5,8.7,436.69
08-04-2020,IN,Gandhinagar,co,67,1.7,8.7,6.6,47.23
24-04-2020,IN,Gandhinagar,co,66,1.6,11.3,6.3,51.11
19-05-2020,IN,Gandhinagar,co,72,1.4,14.3,5.7,45.01
24-01-2020,IN,Gandhinagar,co,34,1.4,38.3,5.5,993.13
29-01-2020,IN,Gandhinagar,co,60,1.9,47.4,6.9,850.96
22-03-2020,IN,Gandhinagar,co,72,1.5,27.6,6.6,189.04
25-03-2020,IN,Gandhinagar,co,72,1.9,80,6.2,1264.24
22-04-2020,IN,Gandhinagar,co,72,2,14.3,6.9,103.57
11-05-2020,IN,Gandhinagar,co,72,1.4,19.2,4.3,71.34
29-05-2020,IN,Gandhinagar,co,72,1.4,21.9,5.4,76.7
17-06-2020,IN,Gandhinagar,co,61,1.5,17,5.5,86.1
01-02-2020,IN,Gandhinagar,co,72,1.1,43.1,5.7,651.73
13-03-2020,IN,Gandhinagar,co,68,1.5,10.7,4.5,61.47
19-07-2020,IN,Gandhinagar,co,26,2.9,9.9,7.3,48.34
01-07-2020,IN,Gandhinagar,co,50,0.6,15.4,5.3,103.23
11-07-2020,IN,Gandhinagar,co,51,1.1,10.6,5.8,44.89
15-03-2020,IN,Gandhinagar,co,72,1.5,16.6,3.6,132.38
